Disease,Description,Specialist
Fungal Infection,"Fungal infections are caused by fungi, which are organisms that can live on the skin or inside the body.","Infectious Disease Specialist,Dermatologist"
Allergy,"An allergy is an abnormal immune response to a substance (allergen) that is typically harmless to most people. Common allergens include pollen, dust mites, pet dander, certain foods (e.g., peanuts, shellfish), insect stings, and certain medications. ","Allergist,Immunologist"
Gerd,"GERD, or gastroesophageal reflux disease, is a chronic condition where stomach acid and occasionally stomach contents flow back (reflux) into the esophagus, causing irritation. This reflux occurs due to a weakened or dysfunctional lower esophageal sphincter (LES), which normally acts as a barrier between the stomach and the esophagus.",Gastroenterologist
Chronic Cholestasis,Chronic cholestasis is a condition where bile flow from the liver is reduced for a prolonged period.,Gastroenterologist
Drug Reaction,Drug Reaction occurs when the body reacts adversely to a medication.,"Allergist,Immunologist"
Peptic Ulcer Diseae,Peptic ulcer disease refers to painful sores or ulcers that develop on the inner lining of the stomach (gastric ulcers) or the upper part of the small intestine (duodenal ulcers). ,Gastroenterologist
Hypercalcemia,"Hypercalcemia is a condition characterized by abnormally high levels of calcium in the blood. Calcium plays a vital role in various physiological processes, including bone health, muscle function, nerve signaling, and hormone secretion.","Endocrinologist,Nephrologist"
Diabetes,"Diabetes mellitus, commonly referred to as diabetes, is a chronic metabolic disorder characterized by high blood sugar levels over a prolonged period",Endocrinologist
Gastroenteritis,"Gastroenteritis is an inflammation of the stomach and intestines, typically caused by a virus or bacteria.",Gastroenterologist
Insomnia,"Insomnia is a sleep disorder characterized by difficulty falling asleep, staying asleep, or waking up too early, leading to daytime fatigue, irritability, and impaired concentration.","Neurologist,Psychologist,Sleep Specialist"
Peripheral Nerve Injuries,"Peripheral nerve injuries refer to damage to the nerves outside of the brain and spinal cord, which make up the peripheral nervous system.","Neurologist,Neurosurgeon."
Migraine,"Migraine is a neurological condition characterized by recurrent, severe headaches often accompanied by symptoms such as nausea, vomiting, sensitivity to light and sound, and visual disturbances (aura). ","Neurologist,Family Doctor"
Cervical Spondylosis,"Cervical spondylosis, also known as cervical osteoarthritis or neck arthritis, is a common age-related condition that affects the joints and discs in the neck. It occurs due to wear and tear of the cartilage and bones in the cervical spine (neck region) over time.","Orthopedic Surgeon,Neurologist"
Paralysis (Brain Hemorrhage),"A brain hemorrhage, also known as intracerebral hemorrhage, occurs when there is bleeding within the brain tissue itself. This bleeding can result from various causes, such as high blood pressure (hypertension), trauma, arteriovenous malformations (AVMs), aneurysms, or blood clotting disorders.","Neurologist,Neurosurgeon,Neurointensivist"
Jaundice,"Jaundice is a yellow discoloration of the skin, mucous membranes, and whites of the eyes caused by an excess of bilirubin in the blood. Bilirubin is a yellow pigment produced during the normal breakdown of red blood cells.","Gastroenterologist,Hepatologist"
Malaria,"Malaria is a serious and sometimes life-threatening disease caused by parasites transmitted to humans through the bites of infected Anopheles mosquitoes, leading to symptoms like fever, chills, and flu-like illness.","Infectious Disease Specialist,Family Doctor"
Chicken Pox,Chicken pox is a highly contagious viral infection causing an itchy rash.,"Pediatrician,Infectious Disease Specialist"
Dengue,"Dengue fever is a mosquito-borne viral infection caused by the Dengue virus, characterized by sudden onset of high fever, severe headache, pain behind the eyes, joint and muscle pain, rash, and in severe cases, bleeding complications (dengue hemorrhagic fever).","Infectious Disease Specialist,Family Doctor"
Typhoid,Typhoid fever is a bacterial infection caused by Salmonella enterica serotype Typhi bacteria. It spreads through contaminated food or water and is more common in areas with poor sanitation and hygiene.,"Infectious Disease Specialist,Family Doctor"
Hepatitis A,"Hepatitis A is a liver infection caused by the Hepatitis A virus (HAV), typically spread through contaminated food or water. It is characterized by symptoms such as fatigue, nausea, vomiting, abdominal pain, fever, and jaundice (yellowing of the skin and eyes), with most people recovering fully without long-term liver damage.","Infectious Disease Specialist,Family Doctor"
Hepatitis B,"Hepatitis B is a viral infection caused by the hepatitis B virus (HBV), which primarily affects the liver. It can cause both acute and chronic infections.",Hepatologist
Hepatitis C,"Hepatitis C is a liver infection caused by the Hepatitis C virus (HCV) that can lead to chronic liver disease, cirrhosis, and liver cancer, often presenting with symptoms like fatigue, jaundice, dark urine, abdominal pain, and in many cases, remaining asymptomatic for years.",Hepatologist
Hepatitis D,"Hepatitis D, also known as delta hepatitis, is a liver infection caused by the hepatitis D virus (HDV). It is considered a ""satellite"" virus because it can only replicate in the presence of the hepatitis B virus (HBV).",Hepatologist
Hepatitis E,"Hepatitis E is a viral liver infection caused by the hepatitis E virus (HEV). It is primarily transmitted through the consumption of contaminated water or food, particularly in areas with poor sanitation. ",Infectious Disease Specialist
Aids,"HIV (Human Immunodeficiency Virus) is a virus that attacks the body's immune system, specifically the CD4 cells (T cells), which help the immune system fight infections. If left untreated, HIV can lead to the disease AIDS (Acquired Immunodeficiency Syndrome).",HIV/AIDS Specialist
Tuberculosis,"Tuberculosis is a contagious bacterial infection caused by Mycobacterium tuberculosis, typically affecting the lungs . Symptoms of pulmonary TB include prolonged cough (more than 3 weeks), chest pain, coughing up blood, weight loss, fatigue, fever, and night sweats. ",Pulmonologist
Common Cold,"The common cold is a viral infection of the upper respiratory tract caused primarily by rhinoviruses. It is characterized by symptoms such as runny or stuffy nose, sore throat, sneezing, coughing, mild headache, and sometimes low-grade fever",Physician
Pneumonia,"Pneumonia is an infection that inflames the air sacs in one or both lungs, causing them to fill with fluid or pus. It can be caused by bacteria, viruses, fungi, or other microorganisms. Symptoms of pneumonia can vary but often include cough, fever, chills, difficulty breathing, chest pain, and fatigue.",Pulmonologist
Dimorphic Hemmorhoids(Piles),"Hemorrhoids, commonly referred to as piles, are swollen veins in the lower rectum or anus. They can be internal, located inside the rectum, or external, located under the skin around the anus. Hemorrhoids can develop due to increased pressure in the veins of the rectum, such as straining during bowel movements, pregnancy, or prolonged sitting","Colorectal Surgeon,Proctologist"
Heart Attack,"A heart attack occurs when the blood flow to a part of the heart muscle is severely reduced or blocked, leading to damage or death of heart muscle tissue. This is usually caused by a blockage in one or more of the coronary arteries, which supply oxygen-rich blood to the heart muscle.","Cardiologist,Emergency Medicine Physician"
Varicose Veins,"Varicose veins are enlarged, swollen, and twisted veins that usually appear dark purple or blue. They often occur in the legs and can be caused by weakened or damaged valves within the veins, which allow blood to pool and veins to bulge.","Vascular Surgeon,Phlebologist"
Hypothyroidism,"Hypothyroidism is a condition where the thyroid gland does not produce enough thyroid hormones to meet the body's needs. Thyroid hormones play a crucial role in regulating metabolism, growth, and development.",Endocrinologist
Hyperthyroidism,"Hyperthyroidism is a condition where the thyroid gland produces too much thyroid hormone, leading to symptoms such as weight loss, rapid heartbeat, nervousness, irritability, heat intolerance, increased sweating, and in some cases, bulging eyes (exophthalmos) due to Graves' disease.",Endocrinologist
Hypoglycemia,"Hypoglycemia is a condition characterized by abnormally low blood sugar levels, causing symptoms such as shakiness, sweating, confusion, dizziness, and in severe cases, loss of consciousness or seizures.",Endocrinologist
Osteoarthristis,"Osteoarthritis is a degenerative joint disease characterized by the breakdown of cartilage, leading to pain, stiffness, swelling, and reduced motion in the affected joints, commonly impacting the knees, hips, hands, and spine.",Rheumatologist
Arthritis,"Arthritis is a term used to describe inflammation and stiffness in the joints, causing pain and reduced mobility.",Rheumatologist
Dengue Fever,"Dengue fever is a mosquito-borne viral infection caused by the dengue virus, which is transmitted primarily by Aedes mosquitoes, particularly Aedes aegypti and Aedes albopictus.",Infectious Disease Specialist
Acne,"Acne is a common skin condition that occurs when hair follicles become clogged with oil and dead skin cells, leading to the formation of pimples, blackheads, whiteheads, and cysts. It often affects areas with a high density of oil glands, such as the face, chest, back, and shoulders.",Dermatologist
Gastroesophageal Reflux Disease,GERD is a chronic digestive disorder characterized by the reflux (backward flow) of stomach acid and occasionally bile into the esophagus. ,Gastroenterologist
Hiv Aids,"HIV (Human Immunodeficiency Virus) is a virus that attacks the body's immune system, specifically the CD4 cells (T cells), which help the immune system fight infections. If left untreated, HIV can lead to the disease AIDS (Acquired Immunodeficiency Syndrome).",HIV/AIDS Specialist
Impetigo,Impetigo is a highly contagious bacterial skin infection caused by either Staphylococcus aureus or Streptococcus pyogenes bacteria. ,Dermatologist
Cirrhosis,"Cirrhosis is a chronic liver disease characterized by the replacement of healthy liver tissue with scar tissue, leading to impaired liver function.",Hepatologist
Bronchial Asthma,"Bronchial asthma is a chronic inflammatory disease of the airways that causes episodes of wheezing, shortness of breath, chest tightness, and coughing, often triggered by allergens, exercise, or respiratory infections.",Pulmonologist
Alcoholic Hepatitis,"Alcoholic hepatitis is an inflammatory condition of the liver caused by excessive alcohol consumption, characterized by symptoms such as jaundice, abdominal pain, fever, nausea, vomiting, and in severe cases, liver failure.",Hepatologist
Sinus Headaches,"Sinus headaches are headaches caused by inflammation or congestion of the sinuses, typically due to sinusitis (sinus infection) or allergies. Symptoms include pain and pressure in the forehead, cheeks, and around the eyes, which worsens with bending forward or lying down. ",Otolaryngologist (ENT Specialist)
(Vertigo) Paroymsal  Positional Vertigo,"Paroxysmal positional vertigo (PPV), also known as benign paroxysmal positional vertigo (BPPV), is a common inner ear disorder characterized by sudden episodes of vertigo triggered by changes in head position, such as turning over in bed or looking up. Symptoms include brief episodes of intense spinning sensation (vertigo), usually lasting less than a minute, along with nausea, vomiting, and imbalance",Otolaryngologist (ENT Specialist)
Hypertension,"Hypertension, or high blood pressure, is a common condition where the force of blood against the walls of the arteries is consistently too high.",Cardiologist
Psoriasis,"Psoriasis is a chronic autoimmune condition that causes the rapid buildup of skin cells, leading to scaling, inflammation, and thick, red patches of skin covered with silvery scales. These patches can appear anywhere on the body but commonly occur on the elbows, knees, scalp, and lower back.",Dermatologist
Gangrene,"Gangrene is a serious and potentially life-threatening condition that occurs when there is a loss of blood supply to tissues, leading to tissue death. It can occur due to various causes, including trauma, infection, diabetes, arterial blockages (such as atherosclerosis), and severe frostbite.",Vascular Surgeon
Kidney Stones,Kidney stones are solid deposits of minerals and salts that form inside the kidneys or urinary tract. They can vary in size from a tiny grain of sand to larger stones that can cause severe pain and obstruction.,Urologist
Migraine Headache,"Migraine headaches are a neurological condition characterized by recurrent episodes of moderate to severe throbbing pain, often on one side of the head.",Neurologist
Sleep Disorders,"Sleep disorders encompass a wide range of conditions that affect sleep quality, duration, or timing, leading to disturbances in overall health and well-being.","Sleep Medicine Specialist,Pulmonologist"
Urinary Tract Infection,"A urinary tract infection (UTI) is a bacterial infection that can occur in any part of the urinary system, including the kidneys, ureters, bladder, and urethra. UTIs are more common in women than men and can range from mild to severe.",Urologist
Typhoid Fever,"Typhoid fever is a serious bacterial infection caused by Salmonella typhi bacteria. It is transmitted through contaminated food, water, or close contact with an infected person.",Infectious Disease Specialist
Occupational Asthma,Occupational asthma is characterized by the narrowing of the airways (bronchoconstriction) and inflammation of the air passages in response to exposure to certain substances at work,Pulmonologist
Lichen Planus,"Lichen planus is a chronic inflammatory condition that affects the skin, mucous membranes, hair, and nails.",Dermatologist
Asthma,"Asthma is a chronic respiratory condition characterized by inflammation and narrowing of the airways, leading to recurrent episodes of wheezing, breathlessness, chest tightness, and coughing. ","Pulmonologist,Allergist"
Cancer,Cancer refers to a group of diseases characterized by the uncontrolled growth and spread of abnormal cells. Cancer can develop in almost any part of the body and can be classified based on the type of tissue or organ where it originates. ,Oncologist
Salmonella,"Salmonella is a type of bacteria that can cause foodborne illness (salmonellosis) in humans. It is commonly found in raw or undercooked meat, poultry, eggs, and unpasteurized milk or dairy products.",Infectious Disease Specialist
Lymphoma,"Lymphoma is a type of cancer that originates in the lymphatic system, which is part of the body's immune system.","Hematologist,Oncologist"
Addisons Disease,"ddison's disease, also known as primary adrenal insufficiency or adrenal insufficiency, is a rare disorder where the adrenal glands do not produce enough cortisol and, sometimes, aldosterone.",Endocrinologist
